SUPER FAMILY,FAMILY,SUB FAMILY,FAMILY COMMON NAME,SPECIES,COMMON NAME,DESCRIPTION,STATES,HOST PLANTS
Papilionoidea,Nymphalidae,,Brush-footed,Euptychia Cymela,Magisto,"","",""
Papilionoidea,Lycaenidae,,Gossamer-winged,Leptotes Marina,Marine Blue,"","NY, OH, VA","Amorpha, Astragalus, Lathyrus, Lotus, Medicago, Wisteria"
Papilionoidea,Lycaenidae,,Gossamer-winged,Lycaeides Melissa,Melissa Blue,"","NJ, NY, OH, PA","Lupinus"
Hesperioidea,Hesperiidae,,Skippers,Hesperia Meskei,Meske's Skipper,"","NC",""
Papilionoidea,Nymphalidae,,Brush-footed,Aglais Milberti,Milbert's Tortoiseshell,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, WV","Helianthus, Laportea, Ribes, Salix, Ulmus, Urtica"
Papilionoidea,Nymphalidae,,Brush-footed,Nymphalis Milberti,Milbert's Tortoiseshell,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, WV",""
Papilionoidea,Nymphalidae,,Brush-footed,Hypolimnas Misippus,Mimic,"","NC",""
Papilionoidea,Nymphalidae,Satyridae,Browns,Neonympha Mitchellii,Mitchell's Satyr,"","MD, NJ, NC, OH","Carex, Digitaria, Scirpus, Sorghastrum"
Papilionoidea,Nymphalidae,Danaidae,Milkweed Butterflies,Danaus Plexippus,Monarch,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Asclepias, Calotropis, Citrus, Cynanchum, Euphorbia, Gossypium, Ipomoea, Matelea"
Hesperioidea,Hesperiidae,,Skippers,Erynnis Martialis,Mottled Duskywing,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Amaranthus, Ceanothus"
Papilionoidea,Nymphalidae,,Brush-footed,Speyeria Atlantis,Mountain Silver-Spot,"","DE, MD, MA, NJ, NY, OH, PA, VA, WV","Viola"
Papilionoidea,Nymphalidae,,Brush-footed,Nymphalis Antiopa,Mourning Cloak,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Acer, Alnus, Betula, Celtis, Fraxinus, Humulus, Ostrya, Populus, Pyrus, Salix, Sorbus, Tilia, Ulmus"
Hesperioidea,Hesperiidae,,Skippers,Poanes Massasoit,Mulberry Wing,"","CT, DE, MD, MA, NJ, NY, OH, PA, RI","Carex"
Papilionoidea,Pieridae,,Whites & Sulfers,Pieris Napi,Mustard White,"","CT, MA, NJ, NY, PA","Arabis, Barbarea, Cardamine, Rorippa"
Papilionoidea,Pieridae,,Whites & Sulfers,Pieris Oleracea,Mustard White,"","CT, NJ, NY, NC, OH, RI, WV","Arabis, Barbarea, Cardamine"
Papilionoidea,Lycaenidae,,Gossamer-winged,Celastrina Ladon Lucia,Northern Azure,"","","Aralia, Cornus, Prunus, Vaccinium, Viburnum"
Hesperioidea,Hesperiidae,,Skippers,Wallengrenia Egeremet,Northern Broken-Dash,"","CT, DE, MD, NJ, NY, NC, OH, PA, VA, WV","Panicum"
Hesperioidea,Hesperiidae,,Skippers,Thorybes Pylades,Northern Cloudywing,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Amorpha, Apios, Astragalus, Bidens, Centrosema, Desmodium, Galactia, Lathyrus, Lespedeza, Lotus, Medicago, Rhynchosia, Tephrosia, Trifolium, Vicia"
Papilionoidea,Nymphalidae,,Brush-footed,Phyciodes Cocyta,Northern Crescent,"","MA, NJ, NY, NC, OH, PA, RI, VA, WV",""
Papilionoidea,Nymphalidae,,Brush-footed,Phyciodes Selenis,Northern Crescent,"","NJ",""
Papilionoidea,Lycaenidae,,Gossamer-winged,Euristrymon Ontario,Northern Hairstreak,"","OH",""
Papilionoidea,Lycaenidae,,Gossamer-winged,Fixsenia Ontario,Northern Hairstreak,"","CT, DE, MD, MA, NJ, NY, NC, PA, RI, VA","Crataegus, Quercus"
Papilionoidea,Riodinidae,,Metalmarks,Calephelis Virginiensis,Northern Metalmark,"","MD, NC, OH, VA, WV","Carphephorus, Cirsium, Mikania"
Papilionoidea,Nymphalidae,,Brush-footed,Phyciodes Pascoensis,Northern Pearl Crescent,"","NJ, NY, PA, WV",""
Papilionoidea,Nymphalidae,Satyridae,Browns,Enodia Anthedon,Northern Pearly Eye,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Brachyelytrum, Chasmanthium, Elymus, Leersia, Panicum, Phalaris, Saccharum, Schizachne"
Hesperioidea,Hesperiidae,,Skippers,Panoquina Ocola,Ocola Skipper,"","CT, DE, MD, NJ, NY, NC, PA, VA","Leersia, Oryza, Panicum"
Papilionoidea,Lycaenidae,,Gossamer-winged,Mitoura Gryneus,Olive Hairstreak,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Chamaecyparis, Juniperus"
Papilionoidea,Pieridae,,Whites & Sulfers,Euchloe Olympia,Olympia Marble,"","MD, NY, OH, PA, RI, VA, WV","Arabis, Descurainia, Sisymbrium"
Papilionoidea,Pieridae,,Whites & Sulfers,Colias Eurytheme,Orange Sulphur,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Astragalus, Baptisia, Cassia, Cucumis, Glycine, Glycyrrhiza, Lathyrus, Lespedeza, Lotus, Lupinus, Medicago, Melilotus, Phaseolus, Pisum, Securigera, Sesbania, Thermopsis, Trifolium, Vicia"
Papilionoidea,Pieridae,,Whites & Sulfers,Phoebis Philea,Orange-barred Sulphur,"","CT, NJ, NY, OH, PA, RI, VA","Cassia, Senna"
Papilionoidea,Nymphalidae,,Brush-footed,Vanessa Cardui,Painted Lady,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Alcea, Amsinckia, Anaphalis, Arctium, Artemisia, Centaurea, Cirsium, Cynara, Helianthus, Lupinus, Malva, Plantago, Senecio, Silybum, Sphaeralcea, Ulmus, Urtica"
Papilionoidea,Papilionidae,,Swallowtails,Papilio Palamedes,Palamedes Swallowtail,"","DE, MD, NJ, NC, VA","Cinnamomum, Lindera, Litsea, Magnolia, Persea, Sassafras"
Papilionoidea,Papilionidae,,Swallowtails,Pterourus Palamedes,Palamedes Swallowtail,"","",""
Hesperioidea,Hesperiidae,,Skippers,Euphyes Palatka,Palatka Skipper,"","MD, NC, VA",""
Papilionoidea,Nymphalidae,,Brush-footed,Phyciodes Tharos,Pearl Crescent,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Aster, Doellingeria, Erigeron, Sericocarpus, Verbesina"
Hesperioidea,Hesperiidae,,Skippers,Polites Peckius,Peck's Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Leersia, Oryza, Poa"
Hesperioidea,Hesperiidae,,Skippers,Amblyscirtes Hegon,Pepper and Salt Skipper,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Chasmanthium, Poa, Sorghastrum, Sorghum"
Hesperioidea,Hesperiidae,,Skippers,Erynnis Persius,Persius Duskywing,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA","Lotus, Lupinus, Populus, Salix, Thermopsis, Trifolium"
Papilionoidea,Nymphalidae,,Brush-footed,Phyciodes Phaon,Phaon Crescent,"","NJ, NC, VA","Phyla"
Papilionoidea,Lycaenidae,,Gossamer-winged,Incisalia Niphon,Pine Elfin,"","",""
Papilionoidea,Pieridae,,Whites & Sulfers,Colias Interior,Pink-Edged Sulphur,"","MD, MA, NY, OH, PA, VA, WV","Vaccinium"
Papilionoidea,Papilionidae,,Swallowtails,Battus Philenor,Pipevine Swallowtail,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Aristolochia, Calystegia, Polygonum"
Papilionoidea,Lycaenidae,,Gossamer-winged,Lycaena Helloides,Purplish Copper,"","NY, OH","Dasiphora, Polygonum, Rumex"
Papilionoidea,Nymphalidae,Danaidae,Milkweed Butterflies,Danaus Gilippus,Queen,"","NC, OH","Asclepias, Calotropis, Cynanchum, Matelea, Vincetoxicum"
Papilionoidea,Nymphalidae,,Brush-footed,Polygonia Interrogationis,Question Mark,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Boehmeria, Celtis, Humulus, Populus, Tilia, Ulmus, Urtica"
Hesperioidea,Hesperiidae,,Skippers,Problema Bulenta,Rare Skipper,"","DE, MD, NJ, NC, VA","Spartina"
Papilionoidea,Lycaenidae,,Gossamer-winged,Hemiargus Isola,Reakirt's Blue,"","OH, PA",""
Papilionoidea,Nymphalidae,,Brush-footed,Vanessa Atalanta,Red Admiral,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Boehmeria, Humulus, Laportea, Parietaria, Urtica"
Papilionoidea,Lycaenidae,,Gossamer-winged,Calycopis Cecrops,Red-banded Hairstreak,"","CT, DE, MD, NJ, NY, NC, OH, PA, RI, VA, WV","Croton, Gossypium, Myrica, Quercus, Rhus, Schinus"
Papilionoidea,Nymphalidae,,Brush-footed,Limenitis Arthemis,Red-spotted Purple,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA",""
Papilionoidea,Nymphalidae,,Brush-footed,Speyeria Idalia,Regal Fritillary,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Viola"
Papilionoidea,Lycaenidae,,Gossamer-winged,Plebeius Argyrognomon,Reverdin's Blue,"","",""
Hesperioidea,Hesperiidae,,Skippers,Amblyscirtes Reversa,Reversed Roadside-Skipper,"","NC, VA","Arundinaria"
Papilionoidea,Nymphalidae,,Brush-footed,Marpesia Petreus,Ruddy Daggerwing,"","MA, PA, VA","Ficus"
Hesperioidea,Hesperiidae,,Skippers,Atalopedes Campestris,Sachem,"","DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Cynodon, Distichlis, Poa, Stenotaphrum"
Hesperioidea,Hesperiidae,,Skippers,Panoquina Panoquin,Salt Marsh Skipper,"","DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Distichlis, Spartina"
Papilionoidea,Nymphalidae,Satyridae,Browns,Hermeuptychia Hermes,Satyr Butterfly,"","DE, MD, NJ, NC, PA, VA","Axonopus, Cynodon, Eremochloa, Stenotaphrum"
Hesperioidea,Hesperiidae,,Skippers,Euphyes Pilatka,Sawgrass Skipper,"","MD, NC, VA","Cladium, Cyperus"
Papilionoidea,Lycaenidae,,Gossamer-winged,Plebeius Scudderi,Scudder's Blue,"","CT, PA",""
Papilionoidea,Nymphalidae,,Brush-footed,Boloria Bellona,Silver-bordered Fritillary,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Viola"
Hesperioidea,Hesperiidae,,Skippers,Epargyreus Clarus,Silver-Spotted Skipper,"","CT, DE, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Acacia, Amorpha, Amphicarpaea, Apios, Astragalus, Cassia, Desmodium, Gleditsia, Glycyrrhiza, Lathyrus, Lespedeza, Lotus, Phaseolus, Pueraria, Rhynchosia, Robinia, Wisteria"
Papilionoidea,Lycaenidae,,Gossamer-winged,Glaucopsyche Lygdamus,Silvery Blue,"","CT, MD, MA, NY, NC, OH, PA, VA, WV","Astragalus, Hedysarum, Lathyrus, Lotus, Lupinus, Medicago, Melilotus, Thermopsis, Vicia"
Papilionoidea,Nymphalidae,,Brush-footed,Chlosyne Nycteis,Silvery Checkerspot,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Aster, Conyza, Doellingeria, Helianthus, Rudbeckia, Solidago, Verbesina"
Hesperioidea,Hesperiidae,,Skippers,Erynnis Brizo,Sleepy Duskywing,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Quercus"
Papilionoidea,Pieridae,,Whites & Sulfers,Eurema Nicippe,Sleepy Orange,"","CT, DE, MD, NJ, NY, NC, OH, PA, VA, WV","Cassia, Senna"
Papilionoidea,Nymphalidae,,Brush-footed,Nymphalis Urticae,Small Tortoiseshell,"","MA, NY","Urtica"
Papilionoidea,Nymphalidae,Danaidae,Milkweed Butterflies,Danaus Eresimus,Soldier,"","NC","Cynanchum"
Hesperioidea,Hesperiidae,,Skippers,Wallengrenia Otho,Southern Broken-Dash,"","DE, MD, NC, PA, VA","Digitaria, Paspalum, Stenotaphrum"
Hesperioidea,Hesperiidae,,Skippers,Thorybes Bathyllus,Southern Cloudywing,"","CT, DE, MD, NJ, NY, NC, OH, PA, RI, VA, WV","Apios, Astragalus, Centrosema, Clitoria, Desmodium, Lespedeza, Rhynchosia, Strophostyles, Tephrosia, Trifolium"
Papilionoidea,Pieridae,,Whites & Sulfers,Colias Cesonia,Southern Dogface,"","NY",""
Papilionoidea,Pieridae,,Whites & Sulfers,Zerene Cesonia,Southern Dogface,"","CT, DE, MD, NJ, NY, NC, OH, PA, VA","Amorpha, Dalea, Trifolium"
Hesperioidea,Hesperiidae,,Skippers,Atrytonopsis Loammi,Southern Dusted Skipper,"","NC","Schizachyrium"
Papilionoidea,Lycaenidae,,Gossamer-winged,Euristrymon Favonius,Southern Hairstreak,"","NC",""
Papilionoidea,Lycaenidae,,Gossamer-winged,Fixsenia Favonius,Southern Hairstreak,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Quercus"
Papilionoidea,Lycaenidae,,Gossamer-winged,Satyrium Favonius,Southern Hairstreak,"","MA",""
Papilionoidea,Nymphalidae,Satyridae,Browns,Enodia Portlandia,Southern Pearly Eye,"","NJ, NC, VA","Arundinaria, Thamnocalamus"
Hesperioidea,Hesperiidae,,Skippers,Copaeodes Minima,Southern Skipperling,"","NC, VA","Cynodon"
Papilionoidea,Papilionidae,,Swallowtails,Papilio Troilus,Spicebush Swallowtail,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Cercis, Cinnamomum, Lindera, Liriodendron, Litsea, Magnolia, Persea, Photinia, Sassafras, Syringa, Zanthoxylum"
Papilionoidea,Papilionidae,,Swallowtails,Pterourus Troilus,Spicebush Swallowtail,"","",""
Papilionoidea,Lycaenidae,,Gossamer-winged,Celastrina Ladon,Spring Azure,"","MD, NY, NC, OH, PA, VA, WV","Aralia, Cornus, Prunus, Viburnum"
Papilionoidea,Nymphalidae,,Brush-footed,Polygonia Satyrus,Squash Vine Borer Moth,"","NY","Humulus, Rhododendron, Ribes, Salix, Urtica"
Papilionoidea,Lycaenidae,,Gossamer-winged,Satyrium Liparops,Striped Hairstreak,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Amelanchier, Carpinus, Carya, Castanea, Crataegus, Fraxinus, Hamamelis, Malus, Photinia, Populus, Prunus, Quercus, Rhododendron, Rubus, Salix, Sorbus, Vaccinium"
Papilionoidea,Lycaenidae,,Gossamer-winged,Celastrina Neglecta,Summer Azure,"","CT, DE, MD, MA, NY, NC, OH, PA, RI, VA, WV","Actaea, Agastache, Aralia, Ceanothus, Collinsonia, Cornus, Eupatorium, Humulus, Lupinus, Oxydendrum, Rhus, Spiraea, Verbesina, Viburnum"
Papilionoidea,Papilionidae,,Swallowtails,Pterourus Other,Swallowtails,"","NC, PA, VA, WV",""
Papilionoidea,Riodinidae,,Metalmarks,Calephelis Mutica,Swamp Metalmark,"","OH, PA","Cirsium"
Hesperioidea,Hesperiidae,,Skippers,Nastra L'herminieri,Swarthy Skipper,"","CT, DE, MD, MA, NJ, NY, OH, PA, RI, VA, WV","Andropogon, Schizachyrium, Sorghastrum, Sorghum"
Papilionoidea,Nymphalidae,,Brush-footed,Phyciodes Batesii,Tawny Crescent,"","MD, NJ, NY, NC, OH, PA, VA, WV","Aster, Doellingeria"
Papilionoidea,Nymphalidae,,Brush-footed,Asterocampa Clyton,Tawny Emperor,"","CT, DE, MD, MA, NJ, NY, NC, PA, VA","Celtis, Stenotaphrum"
Hesperioidea,Hesperiidae,,Skippers,Polites Themistocles,Tawny-edged Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Dichanthelium, Digitaria, Eremochloa, Panicum, Poa"
Papilionoidea,Lycaenidae,,Gossamer-winged,Heodes Hypophlaeas,The American Copper,"","MA, PA",""
Papilionoidea,Nymphalidae,,Brush-footed,Euphydryas Phaeton,The Baltimore,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Agalinis, Aureolaria, Chelone, Dasistoma, Digitalis, Fraxinus, Galeopsis, Lonicera, Mimulus, Pedicularis, Penstemon, Plantago, Scrophularia, Solidago, Symphoricarpos, Valerianella, Verbesina, Veronica, Viburnum, Wisteria"
Papilionoidea,Lycaenidae,,Gossamer-winged,Lycaena Thoe,The Bronze Copper,"","PA",""
Papilionoidea,Lycaenidae,,Gossamer-winged,Incisalia Augustinus,The Brown Elfin,"","","Kalmia, Vaccinium"
Papilionoidea,Lycaenidae,,Gossamer-winged,Elkalyce Comyntas,The Eastern Tailed Blue,"","PA",""
Papilionoidea,Lycaenidae,,Gossamer-winged,Incisalia Irus,The Hoary Elfin,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Juniperus, Picea, Pinus"
Papilionoidea,Pieridae,,Whites & Sulfers,Paramidea Genutia,The Orange Tip,"","PA",""
Papilionoidea,Lycaenidae,,Gossamer-winged,Celastrina Pseudargiolus,The Spring Azure,"","NJ, PA",""
Papilionoidea,Nymphalidae,,Brush-footed,Nymphalis J-album,The White J Butterfly,"","PA",""
Hesperioidea,Hesperiidae,,Skippers,Pyrgus Oileus,Tropical Checkered-Skipper,"","NY, NC, PA","Abutilon, Althaea, Malva, Sida"
Hesperioidea,Hesperiidae,,Skippers,Oligoria Maculata,Twin-spot Skipper,"","MD, MA, NJ, NY, NC, OH, PA, VA","Andropogon, Imperata, Sorghastrum"
Hesperioidea,Hesperiidae,,Skippers,Euphyes Bimacula,Two-spotted Skipper,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Carex"
Papilionoidea,Nymphalidae,,Brush-footed,Occidryas Chalcedona,Variable checkerspot,"","",""
Papilionoidea,Nymphalidae,,Brush-footed,Euptoieta Claudia,Variegated Fritillary,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Caragana, Glycine, Ipomoea, Linum, Passiflora, Phaseolus, Plantago, Podophyllum, Portulaca, Sedum, Stachys, Vigna, Viola, Zea"
Papilionoidea,Nymphalidae,,Brush-footed,Speyeria Diana,Variegated Fritillary,"","MD, NC, VA, WV","Vernonia, Viola"
Papilionoidea,Nymphalidae,,Brush-footed,Limenitis Archippus,Viceroy,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV",""
Papilionoidea,Nymphalidae,,Brush-footed,Basilarchia Archippus,Viceroy Butterfly,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA","Amelanchier, Betula, Gaylussacia, Malus, Populus, Prunus, Quercus, Salix"
Papilionoidea,Pieridae,,Whites & Sulfers,Pieris Virginiensis,West Virginia White,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Arabis, Brassica, Cardamine"
Hesperioidea,Hesperiidae,,Skippers,Polites Vibex,Whirlabout,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Cynodon, Digitaria, Paspalum, Stenotaphrum"
Papilionoidea,Lycaenidae,,Gossamer-winged,Parrhasius M-album,White M Hairstreak,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Quercus"
Papilionoidea,Nymphalidae,,Brush-footed,Anartia Jatrophae,White Peacock,"","MA, NJ, NC, VA","Bacopa, Justicia, Phyla, Ruellia"
Hesperioidea,Hesperiidae,,Skippers,Erynnis Baptisiae,Wild Indigo Duskywing,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Aquilegia, Astragalus, Baptisia, Crotalaria, Lupinus, Securigera, Thermopsis"
Hesperioidea,Hesperiidae,,Skippers,Poanes Yehl,Yehl Skipper,"","MA, VA","Arundinaria, Chasmanthium"
Hesperioidea,Hesperiidae,,Skippers,Megathymus Yuccae,Yucca Giant-Skipper,"","NC, VA","Yucca"
Hesperioidea,Hesperiidae,,Skippers,Poanes Zabulon,Zabulon Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Agrostis, Dactylis, Elymus, Elytrigia, Poa, Puccinellia, Tridens"
Hesperioidea,Hesperiidae,,Skippers,Erynnis Zarucco,Zarucco Duskywing,"","CT, DE, MD, NJ, NC, PA, VA","Baptisia, Galactia, Indigofera, Robinia, Sesbania"
Papilionoidea,Nymphalidae,,Brush-footed,Heliconius Charithonius,Zebra,"","MA, PA, VA","Passiflora"
Papilionoidea,Papilionidae,,Swallowtails,Eurytides Marcellus,Zebra Swallowtail,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Annona, Asimina"
