SUPER FAMILY,FAMILY,SUB FAMILY,FAMILY COMMON NAME,SPECIES,COMMON NAME,DESCRIPTION,STATES,HOST PLANTS
Papilionoidea,Pieridae,,Whites & Sulfers,Pieris Rapae,Cabbage White,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Brassica, Lepidium, Nasturtium, Raphanus, Rorippa, Sinapis, Tropaeolum"
Papilionoidea,Nymphalidae,,Brush-footed,Nymphalis Californica,California Tortoiseshell,"","NY, PA","Ceanothus, Medicago"
Papilionoidea,Papilionidae,,Swallowtails,Papilio Canadensis,Canadian Tiger Swallowtail,"","CT, MA, NY, PA, RI, WV","Acer, Alnus, Amelanchier, Betula, Carya, Corylus, Crataegus, Fraxinus, Malus, Populus, Prunus, Salix, Sorbus, Syringa, Tilia, Ulmus"
Hesperioidea,Hesperiidae,,Skippers,Amblyscirtes Carolina,Carolina Roadside-Skipper,"","NC, VA","Arundinaria"
Papilionoidea,Nymphalidae,Satyridae,Browns,Hermeuptychia Hermes Sosybius,Carolina Satyr,"","MD, NJ, NC, VA, WV",""
Papilionoidea,Nymphalidae,Satyridae,Browns,Hermeuptychia Sosybius,Carolina Satyr,"","MD, NJ, NC, OH, PA, RI, VA, WV","Axonopus, Cynodon, Oplismenus, Stenotaphrum, Urochloa"
Papilionoidea,Lycaenidae,,Gossamer-winged,Leptotes Cassius,Cassius Blue,"","VA",""
Papilionoidea,Lycaenidae,,Gossamer-winged,Hemiargus Ceraunus,Ceraunus Blue,"","NC, PA","Chamaecrista, Indigofera, Sesbania"
Papilionoidea,Pieridae,,Whites & Sulfers,Pieris Protodice,Checkered White,"","DE, MD, NJ, NY, NC, PA, VA",""
Papilionoidea,Pieridae,,Whites & Sulfers,Pontia Protodice,Checkered White,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Arabis, Barbarea, Brassica, Capsella, Chorispora, Cleome, Descurainia, Draba, Lepidium, Sisymbrium, Thlaspi"
Papilionoidea,Nymphalidae,,Brush-footed,Charidryas Palla,Checkerspots,"","",""
Hesperioidea,Hesperiidae,,Skippers,Lerema Accius,Clouded Skipper,"","CT, DE, MD, NJ, NY, NC, OH, PA, RI, VA, WV","Arundinaria, Arundo, Bambusa, Chasmanthium, Dichanthelium, Echinochloa, Imperata, Panicum, Paspalum, Pennisetum, Phanopyrum, Phyllostachys, Saccharum, Setaria, Sorghum, Tridens, Tripsacum, Urochloa, Zea, Zizaniopsis"
Papilionoidea,Pieridae,,Whites & Sulfers,Colias Philodice,Clouded Sulphur,"","DE, MD, MA, NJ, NY, NC, OH, PA, VA, WV","Astragalus, Medicago, Melilotus, Trifolium, Vicia"
Papilionoidea,Pieridae,,Whites & Sulfers,Phoebis Sennae,Cloudless Sulphur,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Cassia, Chamaecrista, Senna"
Hesperioidea,Hesperiidae,,Skippers,Hesperia Metea,Cobweb Skipper,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Agropyron, Schizachyrium"
Hesperioidea,Hesperiidae,,Skippers,Megathymus Cofaqui,Cofaqui Giant-Skipper,"","NC, PA","Yucca"
Hesperioidea,Hesperiidae,,Skippers,Erynnis Lucilius,Columbine Duskywing,"","CT, MA, NJ, NY, OH, PA, RI, VA, WV","Aquilegia, Lupinus"
Hesperioidea,Hesperiidae,,Skippers,Hesperia Comma,Common Branded Skipper,"","RI","Bromus, Festuca, Lolium, Poa"
Papilionoidea,Nymphalidae,,Brush-footed,Junonia Coenia,Common Buckeye,"","MD, OH",""
Hesperioidea,Hesperiidae,,Skippers,Pyrgus Communis,Common Checkered-Skipper,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Alcea, Callirhoe, Chenopodium, Malva, Sida, Sidalcea"
Papilionoidea,Nymphalidae,Satyridae,Browns,Coenonympha Tullia,Common Ringlet,"","CT, MA, NJ, NY, PA, RI","Agrostis, Festuca, Poa"
Hesperioidea,Hesperiidae,,Skippers,Amblyscirtes Vialis,Common Roadside-Skipper,"","CT, MD, NJ, NY, NC, OH, PA, VA, WV","Agrostis, Chasmanthium, Poa, Saccharum"
Hesperioidea,Hesperiidae,,Skippers,Pholisora Catullus,Common Sootywing,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Amaranthus, Ambrosia, Chenopodium"
Papilionoidea,Nymphalidae,Satyridae,Browns,Cercyonis Pegala,Common Wood Nymph,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Andropogon, Avena, Bothriochloa, Hesperostipa, Poa, Tridens"
Papilionoidea,Nymphalidae,,Brush-footed,Nymphalis Vaualbum,Compton Tortoiseshell,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Betula, Humulus, Malus, Populus, Salix, Ulmus"
Papilionoidea,Nymphalidae,,Brush-footed,Roddia Vaualbum,Compton Tortoiseshell,"","CT, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV",""
Hesperioidea,Hesperiidae,,Skippers,Thorybes Confusis,Confusing Cloudywing,"","DE, MD, NJ, NC, OH, PA, RI, VA","Lespedeza, Tephrosia"
Papilionoidea,Lycaenidae,,Gossamer-winged,Harkenclenus Titus,Coral Hairstreak,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Photinia, Prunus"
Papilionoidea,Lycaenidae,,Gossamer-winged,Satyrium Titus,Coral Hairstreak,"","CT, DE, MD, MA, NJ, NY, NC, OH, PA, RI, VA, WV","Photinia, Prunus"
Papilionoidea,Nymphalidae,Satyridae,Browns,Enodia Creola,Creole Pearly Eye,"","NC, RI, VA","Arundinaria"
